COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,tiene_paramo,nombre_paramo,tiene_bosque_seco,nombre_bosque_seco,tiene_humedal,nombre_humedal,tiene_reaa,nombre_reaa,tiene_ley2,nombre_ley2
13836,TURBACO,BOLÍVAR,10.35310756,-75.37971541,0,,0,,1,Magdalena Cauca,0,,0,
13838,TURBANÁ,BOLÍVAR,10.25276929,-75.43270299,0,,0,,1,Magdalena Cauca,0,,0,
13873,VILLANUEVA,BOLÍVAR,10.4449132,-75.26736275,0,,0,,1,Caribe,0,,0,
13894,ZAMBRANO,BOLÍVAR,9.745147021,-74.88067037,0,,0,,1,Magdalena Cauca,1,PDET,0,
15001,TUNJA,BOYACÁ,5.518472615,-73.37801856,0,,0,,0,,0,,0,
15022,ALMEIDA,BOYACÁ,4.954825081,-73.38813425,0,,0,,1,Orinoco,0,,0,
15047,AQUITANIA,BOYACÁ,5.437416373,-72.87149471,1,Tota - Bijagual - Mamapacha,0,,1,Orinoco,1,"Paramos Delimitados,Humedales V3",0,
15051,ARCABUCO,BOYACÁ,5.73526424,-73.42793109,1,Iguaque - Merchán,0,,1,Magdalena Cauca,1,"Paramos Delimitados,Humedales V3",0,
15087,BELÉN,BOYACÁ,6.005059265,-72.89369887,0,,0,,0,,0,,0,
15090,BERBEO,BOYACÁ,5.230936356,-73.12731944,0,,0,,1,Orinoco,0,,0,
15092,BETÉITIVA,BOYACÁ,5.920858933,-72.84857876,0,,0,,1,Magdalena Cauca,0,,0,
15097,BOAVITA,BOYACÁ,6.337515626,-72.62021239,0,,0,,1,Magdalena Cauca,0,,0,
15104,BOYACÁ,BOYACÁ,5.439856216,-73.38136994,0,,0,,1,Orinoco,0,,0,
15106,BRICEÑO,BOYACÁ,5.673229265,-73.92660705,0,,0,,1,Magdalena Cauca,1,Omec,0,
15109,BUENAVISTA,BOYACÁ,5.489399419,-73.95066255,0,,0,,1,Magdalena Cauca,1,Omec,0,
15114,BUSBANZÁ,BOYACÁ,5.843483731,-72.87574623,0,,0,,0,,0,,0,
15131,CALDAS,BOYACÁ,5.575990669,-73.88057508,0,,0,,1,Magdalena Cauca,1,Omec,0,
15135,CAMPOHERMOSO,BOYACÁ,5.006862536,-73.1446703,0,,0,,1,Orinoco,0,,0,
15162,CERINZA,BOYACÁ,5.962013698,-72.96447288,0,,0,,0,,0,,0,
15172,CHINAVITA,BOYACÁ,5.202971639,-73.34048074,0,,0,,1,Orinoco,0,,0,
