CodigoEstacion,NombreEstacion,Departamento,Municipio,Latitud,Longitud,frecuencia_extremos,pendiente,p_valor,tendencia,frecuencia_reciente,ratio_reciente,frecuencia_anio_corrido,frecuencia_ultimos_6m,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,alerta_lluvias,sequia_categoria,cod_norm
13085030,SAN BERNARDO,CORDOBA,SAN BERNARDO DEL VIENTO,9.370777778,-75.94930556,0.04633204633204633,,,,,,,,,,sin_datos,BAJA,MODERADA,13085030
13085050,LORICA ITA - En Siniestro,CÓRDOBA,LORICA,9.253,-75.844,0.0508646998982706,,,,,,,,,,sin_datos,BAJA,MODERADA,13085050
13095010,COVEÑAS - DIMAR,SUCRE,TOLÚ,9.383,-75.667,0.04133804732118575,,,,,,,,,,sin_datos,BAJA,MODERADA,13095010
14015010,GALERAZAMBA,BOLIVAR,SANTA CATALINA,10.79416667,-75.26055556,0.09540636042402827,0.02816971682377689,0.17933299430757155,estable,0.15281085618126772,1.6016841592332876,,,,,sin_datos,MODERADA,NORMAL,14015010
14015010,GALERAZAMBA,BOLÍVAR,SANTA CATALINA,10.79416667,-75.26055556,0.1,0.02816971682377689,0.17933299430757155,estable,0.15281085618126772,1.528108561812677,,,,,sin_datos,MODERADA,NORMAL,14015010
14015010,GALERAZAMBA  - AUT,BOLIVAR,SANTA CATALINA,10.79416667,-75.26055556,0.020895522388059702,0.02816971682377689,0.17933299430757155,estable,0.15281085618126772,7.31309097438924,,,,,sin_datos,MODERADA,NORMAL,14015010
14015020,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,10.447,-75.516,0.05019059720457433,,,,,,,,,,sin_datos,BAJA,MODERADA,14015020
14015080,AEROPUERTO RAFAEL NUNEZ,BOLIVAR,CARTAGENA DE INDIAS,10.44725,-75.51602778,0.05593803786574871,-0.001824660618247695,0.7825168375274572,estable,0.1367274123815208,2.444265433651187,0.15841584158415842,0.11538461538461539,2.8319878141660317,2.0627218934911244,EXCESO,MODERADA,NORMAL,14015080
14015080,AEROPUERTO RAFAEL NUNEZ,BOLÍVAR,CARTAGENA DE INDIAS,10.44725,-75.51602778,0.03208556149732621,-0.001824660618247695,0.7825168375274572,estable,0.1367274123815208,4.261337685890731,0.15841584158415842,0.11538461538461539,4.937293729372937,3.596153846153846,EXCESO,MODERADA,NORMAL,14015080
14017001,TESORO INVEMAR,BOLÍVAR,CARTAGENA DE INDIAS,10.235,-75.741,0.03424987940183309,,,,,,,,,,sin_datos,BAJA,NORMAL,14017001
14019030,CC DIQUE: CIOH,BOLÍVAR,CARTAGENA DE INDIAS,10.391,-75.534,0.047725577926920205,0.01730978928494885,0.19996703406123065,estable,0.08584119035214428,1.7986411915972733,0.11904761904761904,0.0,2.494419642857143,0.0,DEFICIT,MODERADA,NORMAL,14019030
14019030,ESCUELA NAVAL CIOH,BOLIVAR,CARTAGENA DE INDIAS,10.39056389,-75.53383056,0.06046511627906977,0.01730978928494885,0.19996703406123065,estable,0.08584119035214428,1.419681225054694,0.11904761904761904,0.0,1.9688644688644688,0.0,DEFICIT,MODERADA,NORMAL,14019030
14019030,ESCUELA NAVAL CIOH,BOLÍVAR,CARTAGENA DE INDIAS,10.39056389,-75.53383056,0.0625,0.01730978928494885,0.19996703406123065,estable,0.08584119035214428,1.3734590456343085,0.11904761904761904,0.0,1.9047619047619047,0.0,DEFICIT,MODERADA,NORMAL,14019030
15015050,AEROPUERTO SIMON BOLIVAR,MAGDALENA,SANTA MARTA,11.1146944,-74.23102778,0.033707865168539325,0.0023275180637036177,0.1676865345427365,estable,0.058994544490203915,1.7501714865427163,0.06435643564356436,0.0641025641025641,1.9092409240924093,1.9017094017094016,EXCESO,MODERADA,MODERADA,15015050
15015050,AEROPUERTO SIMON BOLIVAR,MAGDALENA,SANTA MARTA,11.1146944,-74.231027778,0.059782608695652176,0.0023275180637036177,0.1676865345427365,estable,0.058994544490203915,0.9868178351088654,0.06435643564356436,0.0641025641025641,1.0765076507650766,1.0722610722610721,NORMAL,BAJA,MODERADA,15015050
15015050,AEROPUERTO SIMON BOLIVAR,MAGDALENA,SANTA MARTA,11.128,-74.229,0.08333333333333333,0.0023275180637036177,0.1676865345427365,estable,0.058994544490203915,0.707934533882447,0.06435643564356436,0.0641025641025641,0.7722772277227723,0.7692307692307692,DEFICIT,BAJA,MODERADA,15015050
15015060,SAN LORENZO,MAGDALENA,SANTA MARTA,11.11108333,-74.05469444,0.047619047619047616,0.05837912087912087,0.023974588379778755,creciente,0.18971742543171113,3.984065934065934,0.28735632183908044,0.21951219512195122,6.0344827586206895,4.609756097560976,EXCESO,MODERADA,NORMAL,15015060
15015060,SAN LORENZO  - AUT,MAGDALENA,SANTA MARTA,11.11108333,-74.05469444,0.05655172413793103,0.05837912087912087,0.023974588379778755,creciente,0.18971742543171113,3.3547593521461114,0.28735632183908044,0.21951219512195122,5.08130081300813,3.8816180844735277,EXCESO,MODERADA,NORMAL,15015060
15015100,PARQUE TAYRONA,MAGDALENA,SANTA MARTA,11.301674,-73.928809,0.05859375,-0.0023243677814104736,0.5419351082135871,estable,0.08602442523531374,1.468150190682688,0.09900990099009901,0.04487179487179487,1.6897689768976898,0.7658119658119659,DEFICIT,MODERADA,SEVERA,15015100
15015100,PARQUE TAYRONA,MAGDALENA,SANTA MARTA,11.31,-73.933,0.04984423676012461,-0.0023243677814104736,0.5419351082135871,estable,0.08602442523531374,1.725865031283482,0.09900990099009901,0.04487179487179487,1.9863861386138615,0.9002403846153847,NORMAL,MODERADA,SEVERA,15015100
15015100,PARQUE TAYRONA,MAGDALENA,SANTA MARTA,11.31,-73.93,0.058577405857740586,-0.0023243677814104736,0.5419351082135871,estable,0.08602442523531374,1.468559830802856,0.09900990099009901,0.04487179487179487,1.6902404526166903,0.7660256410256411,DEFICIT,MODERADA,SEVERA,15015100
15015120,UNIVERSIDAD TECNOLOGICA,MAGDALENA,SANTA MARTA,11.22305556,-74.18591667,0.14206128133704735,-0.009481154741848298,0.20747212161340836,estable,0.13549650020014067,0.9537890896441276,0.0582010582010582,0.04895104895104895,0.4096898018466646,0.3445769916358152,DEFICIT,ALTA,SEVERA,15015120
15015120,UNIVERSIDAD TECNOLOGICA  - AUT,MAGDALENA,SANTA MARTA,11.22305556,-74.18591667,0.04109922178988327,-0.009481154741848298,0.20747212161340836,estable,0.13549650020014067,3.296814253390405,0.0582010582010582,0.04895104895104895,1.416110954572493,1.1910456407497827,EXCESO,MODERADA,SEVERA,15015120
15017030,MINCA,MAGDALENA,SANTA MARTA,11.142548,-74.111813,0.10031347962382445,-0.001310779017929475,0.6161399458187715,estable,0.12501656663109204,1.2462588986036989,0.13366336633663367,0.10256410256410256,1.332456683168317,1.0224358974358974,NORMAL,CRÍTICA,MODERADA,15017030
15017030,MINCA,MAGDALENA,SANTA MARTA,11.15891667,-74.12291667,0.0851063829787234,-0.001310779017929475,0.6161399458187715,estable,0.12501656663109204,1.4689446579153314,0.13366336633663367,0.10256410256410256,1.5705445544554457,1.205128205128205,EXCESO,MODERADA,MODERADA,15017030
15017030,MINCA  - AUT,MAGDALENA,SANTA MARTA,11.15891667,-74.12291667,0.006426735218508998,-0.001310779017929475,0.6161399458187715,estable,0.12501656663109204,19.45257776779792,0.13366336633663367,0.10256410256410256,20.7980198019802,15.958974358974357,EXCESO,MODERADA,MODERADA,15017030
15017060,BOCATOMA STA MARTA - En Siniestro,MAGDALENA,SANTA MARTA,11.254,-74.139,0.04983012457531144,,,,,,,,,,sin_datos,BAJA,MODERADA,15017060
15035020,TERMOGUAJIRA,LA GUAJIRA,DIBULLA,11.2525,-73.41138889,0.06377551020408163,-0.0016774946833891765,0.5117526168201428,estable,0.06993448471561098,1.09657272034078,0.054455445544554455,0.02564102564102564,0.8538613861386138,0.40205128205128204,DEFICIT,BAJA,NORMAL,15035020
15035020,TERMOGUAJIRA  - AUT,LA GUAJIRA,DIBULLA,11.2525,-73.41138889,0.040740740740740744,-0.0016774946833891765,0.5117526168201428,estable,0.06993448471561098,1.7165737157468148,0.054455445544554455,0.02564102564102564,1.3366336633663365,0.6293706293706293,DEFICIT,MODERADA,NORMAL,15035020
