CodigoEstacion,COD_MPIO,NombreEstacion,Departamento,Municipio,Latitud,Longitud,fecha_corte,precip_acumulada_anual_mm
26237100,5501.0,OLAYA,ANTIOQUIA,LIBORINA,6.64494444,-75.82616667,2026-09-16,809.8
26247010,5120.0,HACIENDA PALMIRA,ANTIOQUIA,CÁCERES,7.796777778,-75.37252778,2026-09-16,2343.6
26247020,23350.0,LA COQUERA,ANTIOQUIA,CAUCASIA,7.96,-75.2,2026-09-16,1691.5
26255030,5854.0,SANTA ISABEL VALDIVIA,ANTIOQUIA,VALDIVIA,7.157222222,-75.442275,2026-07-04,4486.3
27010810,5266.0,SANTA ELENA,ANTIOQUIA,MEDELLÍN,6.196888889,-75.51675,2026-09-16,2480.1
27011100,5736.0,LAS BRISAS,ANTIOQUIA,SEGOVIA,7.158805556,-74.82183333,2026-09-16,3802.1
27015190,5690.0,GUAYABITO,ANTIOQUIA,SANTO DOMINGO,6.540388889,-75.14675,2026-09-16,6202.700000000001
27015260,5129.0,LA SALADA,ANTIOQUIA,CALDAS,6.048361111,-75.62466667,2026-09-16,2641.7000000000003
27015280,5086.0,PARAMO BELMIRA,ANTIOQUIA,ENTRERRIOS,6.632027778,-75.64444444,2026-08-20,0.0
27015310,5088.0,METROMEDELLIN,ANTIOQUIA,BELLO,6.32975,-75.55211111,2026-09-16,21.2
27015320,5658.0,ARAGON,ANTIOQUIA,SANTA ROSA DE OSOS,6.78,-75.56,2026-09-16,1039.1
27015330,5001.0,AEROPUERTO OLAYA HERRERA,ANTIOQUIA,MEDELLÍN,6.2246389,-75.5882,2026-09-16,2588.191
27025030,5040.0,ANORI,ANTIOQUIA,ANORÍ,7.0719,-75.1505,2026-09-16,1929.3
27027060,5038.0,BRISAS DEL NECHI,ANTIOQUIA,ANGOSTURA,6.939694444,-75.38083333,2026-09-16,362.0
27030140,5736.0,LA PALMA DE COCO,ANTIOQUIA,SEGOVIA,7.236111111,-74.80794444,2026-09-16,2182.8
27035050,5895.0,SENA - EL BAGRE,ANTIOQUIA,EL BAGRE,7.584666667,-74.800694444,2026-09-16,3716.2000000000003
27037010,5495.0,LA ESPERANZA NECHI,ANTIOQUIA,NECHÍ,8.03,-74.786,2026-09-16,1095.0
27037020,5895.0,RETIRO EL,ANTIOQUIA,EL BAGRE,7.56,-74.799,2026-07-23,3487.6
28010200,nan,,,,,,2026-07-04,22.200000000000003
28015070,44874.0,URUMITA,LA GUAJIRA,URUMITA,10.566,-73.016,2026-09-16,538.4
28017150,nan,,,,,,2026-09-16,5.5
28025120,20013.0,SERRANIA DEL PERIJA,CESAR,AGUSTÍN CODAZZI,10.02908333,-73.04619444,2026-04-03,164.0
28025502,44420.0,AEROPUERTO ALFONSO LOPEZ -,CESAR,VALLEDUPAR,10.43616667,-73.24766667,2026-09-16,402.82
28030190,nan,,,,,,2026-09-16,483.8
28035060,44420.0,FEDEARROZ,CESAR,VALLEDUPAR,10.46361111,-73.24805556,2026-09-16,412.00000000000006
28035070,44650.0,GUATAPURI,CESAR,VALLEDUPAR,10.73213889,-73.39241667,2026-09-16,612.2
28037030,44420.0,PUENTE SALGUERO,CESAR,VALLEDUPAR,10.38411111,-73.23247222,2026-09-16,9.2
29004520,8001.0,ESCUELA NAVAL BARRANQUILLA,ATLANTICO,BARRANQUILLA,11.00638889,-74.785,2026-09-12,522.6999999999999
29015000,13248.0,EL GUAMO,BOLIVAR,EL GUAMO,10.034607,-74.976638,2026-09-16,720.46
29015040,13244.0,CARMEN DE BOLIVAR,BOLIVAR,EL CARMÉN DE BOLÍVAR,9.71569,-75.106448,2026-09-16,777.0
29035000,13052.0,SINCERIN,BOLIVAR,ARJONA,10.14258333,-75.27827778,2026-09-16,871.9000000000001
29035080,8436.0,NORMAL MANATI,ATLANTICO,MANATÍ,10.45358333,-74.95463889,2026-09-16,731.0
29035200,8606.0,REPELON,ATLANTICO,REPELÓN,10.49,-75.12694444,2026-09-16,263.5
29045000,8520.0,SABANALARGA,ATLANTICO,PONEDERA,10.677485,-74.850417,2026-09-16,665.16
29045190,8758.0,AEROPUERTO E. CORTISSOZ,ATLANTICO,SOLEDAD,10.91777778,-74.77972222,2026-09-16,412.51
29047000,8758.0,TEBSA BQUILLA,ATLANTICO,SOLEDAD,10.935994,-74.761809,2026-09-16,434.2
29047070,8770.0,SAN PEDRITO,ATLANTICO,SUAN,10.26822222,-74.90786111,2026-09-16,1156.0
29065000,47551.0,MEDIA LUNA,MAGDALENA,PIVIJAI,10.51002778,-74.50666667,2026-09-16,1052.2
29065120,47288.0,BATALLON NO. 6,MAGDALENA,FUNDACIÓN,10.46536111,-73.92777778,2026-09-16,514.0
29065130,47980.0,LA GRAN VIA,MAGDALENA,ZONA BANANERA,10.85,-74.13333333,2026-08-20,137.89999999999998
29067060,47030.0,PUERTO RICO HACIENDA,MAGDALENA,ARACATACA,10.496596,-74.128263,2026-09-16,186.1
29067150,47268.0,GANADERIA CARIBE,MAGDALENA,ARACATACA,10.572415,-74.122212,2026-09-16,1013.2
31095030,94001.0,PTO INIRIDA,GUAINÍA,INÍRIDA,3.868,-67.932,2026-09-16,3038.8
32105080,50450.0,SAN JOSE DEL GUAVIARE,GUAVIARE,SAN JOSÉ DEL GUAVIARE,2.547925,-72.71803,2026-09-16,1106.7
33035010,85230.0,CARIMAGUA,META,PUERTO GAITÁN,4.571298,-71.33571,2026-09-16,1326.2
34015010,99624.0,LAS GAVIOTAS,VICHADA,CUMARIBO,4.553891,-70.930225,2026-09-16,2584.3
34035010,99001.0,TUPARRO BOCAS - TOMO,VICHADA,CUMARIBO,5.3526389,-67.856777,2026-09-16,998.2
35010010,nan,,,,,,2026-09-16,1605.9
35017020,50124.0,PUENTE LLERAS,META,PUERTO LÓPEZ,4.103019444,-72.936383333,2026-09-16,1855.5
35020300,25281.0,GUTIERREZ,CUNDINAMARCA,GUTIÉRREZ,4.253916667,-74.00269444,2026-09-16,1612.7
35025060,25181.0,BOLSA LA,CUNDINAMARCA,CHOACHÍ,4.57541667,-73.98141667,2026-07-07,673.8
35025080,25377.0,PNN CHINGAZA,CUNDINAMARCA,LA CALERA,4.661,-73.82733,2026-09-16,1202.3
35025110,50001.0,LA LIBERTAD,META,VILLAVICENCIO,4.057361111,-73.46791667,2026-09-16,2552.4
35027001,25151.0,CAQUEZA PLAZA DE FERIAS - TXGPRS,CUNDINAMARCA,CÁQUEZA,4.403,-73.941,2026-09-16,474.9
35027100,25178.0,CARAZA,CUNDINAMARCA,CHIPAQUE,4.429173,-74.010245,2026-09-16,523.1999999999999
35027150,25845.0,ANIMAS LAS,BOGOTA,"BOGOTA, D.C",4.138,-74.174,2026-09-16,1046.1000000000001
35027210,25335.0,CASETEJA-DELICIAS,META,ACACÍAS,4.195277778,-73.76888889,2026-09-16,3011.8
35035100,50001.0,ICA VILLAVICENCIO,META,VILLAVICENCIO,4.137225,-73.624998,2026-09-16,4096.0
35035110,50606.0,SALINAS DE UPIN,META,RESTREPO,4.27327,-73.58792,2026-07-04,5303.2
35035130,25322.0,PARAMO CHINGAZA,CUNDINAMARCA,GUASCA,4.713666667,-73.80325,2026-09-16,1535.6
35045020,nan,,,,,,2026-09-16,2009.3
35060210,25372.0,CLARAVAL,CUNDINAMARCA,JUNÍN,4.6489,-73.64083,2026-09-16,486.5
35075030,15104.0,VILLA LUISA,BOYACÁ,RAMIRIQUÍ,5.422222222,-73.34941667,2026-09-16,664.2
35075040,15425.0,INSTITUCION AGRICOLA MACANAL,BOYACÁ,MACANAL,4.974,-73.317,2026-09-16,1815.1999999999998
35075070,15172.0,CHINAVITA,BOYACÁ,CHINAVITA,5.21639,-73.34697,2026-07-04,2121.7
35075080,15861.0,PARAMO RABANAL,BOYACÁ,VENTAQUEMADA,5.39239,-73.56278,2026-04-03,191.4
35077090,nan,,,,,,2026-09-16,267.2
35080050,15514.0,PAEZ,BOYACÁ,PÁEZ,5.096,-73.053,2026-09-16,0.372
