COD_DPTO,NOM_DPTO,cod_divipola,NOM_MPIO,LATITUD,LONGITUD,amenaza_mm_val,amenaza_mm
13,BOLÍVAR,13212,CÓRDOBA,9.540047515,-74.89445635,7,MUY_BAJA
13,BOLÍVAR,13222,CLEMENCIA,10.55663696,-75.31446653,10,MUY_BAJA
13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,9.699819876,-75.15793573,4,MUY_BAJA
13,BOLÍVAR,13248,EL GUAMO,10.03483672,-74.92811072,4,MUY_BAJA
13,BOLÍVAR,13268,EL PEÑÓN,8.864818786,-73.91230147,11,BAJA
13,BOLÍVAR,13300,HATILLO DE LOBA,8.981717133,-74.09071902,10,MUY_BAJA
13,BOLÍVAR,13430,MAGANGUÉ,9.053135895,-74.70539318,10,MUY_BAJA
13,BOLÍVAR,13433,MAHATES,10.17821391,-75.17978161,10,MUY_BAJA
13,BOLÍVAR,13440,MARGARITA,9.054601889,-74.22584706,10,MUY_BAJA
13,BOLÍVAR,13442,MARÍA LA BAJA,9.976017168,-75.34380265,10,MUY_BAJA
13,BOLÍVAR,13458,MONTECRISTO,8.01710024,-74.46342911,25,MEDIA
13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,9.142512064,-74.54519906,10,MUY_BAJA
13,BOLÍVAR,13473,MORALES,8.253700061,-73.9713459,25,MEDIA
13,BOLÍVAR,13490,NOROSÍ,8.50613476,-74.11588912,25,MEDIA
13,BOLÍVAR,13549,PINILLOS,8.886315511,-74.40888476,10,MUY_BAJA
13,BOLÍVAR,13580,REGIDOR,8.672628558,-73.91450679,25,MEDIA
13,BOLÍVAR,13600,RÍO VIEJO,8.559982465,-73.90298668,25,MEDIA
13,BOLÍVAR,13620,SAN CRISTÓBAL,10.36972087,-75.07333835,10,MUY_BAJA
13,BOLÍVAR,13647,SAN ESTANISLAO,10.36468192,-75.20523487,10,MUY_BAJA
13,BOLÍVAR,13650,SAN FERNANDO,9.081483143,-74.37186647,10,MUY_BAJA
13,BOLÍVAR,13654,SAN JACINTO,9.835362011,-75.10609201,9,MUY_BAJA
13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,8.212463202,-74.75082,12,BAJA
13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,9.967957823,-75.06571959,4,MUY_BAJA
13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,8.816088444,-74.00599967,25,MEDIA
13,BOLÍVAR,13670,SAN PABLO,7.507922612,-74.10356977000001,25,MEDIA
13,BOLÍVAR,13673,SANTA CATALINA,10.64981278,-75.26548463,10,MUY_BAJA
13,BOLÍVAR,13683,SANTA ROSA,10.46920726,-75.36116053,10,MUY_BAJA
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,7.772519173,-74.26272843,25,MEDIA
13,BOLÍVAR,13744,SIMITÍ,7.851315534,-73.98371609,25,MEDIA
13,BOLÍVAR,13760,SOPLAVIENTO,10.33209031,-75.11699226,10,MUY_BAJA
13,BOLÍVAR,13780,TALAIGUA NUEVO,9.269516705,-74.58695233,10,MUY_BAJA
