COD_DPTO,NOM_DPTO,COD_MPIO,NOM_MPIO,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,alerta_lluvias,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,ratio_volumen_3m,condicion_lluvia_3m,sequia_categoria,freq_sequia_hist,freq_sequia_rec_3m,racha_activa_dias,tendencia_sequia,n_estaciones,distancia_km_estacion_asignada,sequia_nivel,municipio_afectado
5,ANTIOQUIA,5266,ENVIGADO,0.06876790830945559,0.09074036747731705,1.3195161770659853,estable,ALTA,1.0240610328638498,1.1185897435897436,NORMAL,2.7864050535458267,EXCESO,MODERADA,0.08256880733944955,0.15384615384615385,0.0,estable,1,5.7633262032922286,2,1
5,ANTIOQUIA,5282,FREDONIA,0.0673854447439353,0.07306222049267777,1.0842433521113382,decreciente,BAJA,0.5573708920187794,0.5707692307692308,DEFICIT,0.6964280826247852,DEFICIT,MODERADA,0.07272727272727272,0.25,0.0,estable,1,4.3032965133049155,2,1
5,ANTIOQUIA,5284,FRONTINO,0.06876790830945559,0.08709209568641203,1.2664642247732416,estable,MODERADA,1.0240610328638498,0.6525106837606838,DEFICIT,0.7624086902049498,DEFICIT,MODERADA,0.0970873786407767,0.14285714285714285,0.0,estable,1,17.161023337268308,2,1
5,ANTIOQUIA,5306,GIRALDO,0.07164179104477612,0.08319735463883332,1.1612964085003816,decreciente,MODERADA,0.19752358490566038,0.26842948717948717,DEFICIT,0.559370280650535,DEFICIT,MODERADA,0.1044776119402985,0.07692307692307693,0.0,estable,1,5.1761802773060435,2,1
5,ANTIOQUIA,5308,GIRARDOTA,0.07078853046594982,0.0,0.0,estable,BAJA,0.0,0.0,DEFICIT,0.0,DEFICIT,ALTA,0.1095890410958904,0.0,595.0,sin_datos,2,12.785224463858238,3,0
5,ANTIOQUIA,5310,GÓMEZ PLATA,0.05271317829457364,,,sin_datos,BAJA,,,sin_datos,,sin_datos,ALTA,0.10317460317460317,0.0,17.0,sin_datos,1,16.626081613804725,3,1
5,ANTIOQUIA,5313,GRANADA,0.0,,,sin_datos,BAJA,,,sin_datos,,sin_datos,NORMAL,0.08300395256916997,0.0,3.0,sin_datos,1,9.428265762755016,0,1
5,ANTIOQUIA,5315,GUADALUPE,0.08139534883720931,0.07154914179708234,1.6131079241524018,creciente,MODERADA,,,sin_datos,,sin_datos,MODERADA,0.10465116279069768,0.0,0.0,estable,2,11.876739831795534,2,1
5,ANTIOQUIA,5318,GUARNE,0.026928343222272933,0.19002007357471762,7.056508155969599,estable,ALTA,8.232890949792134,6.229196282121379,EXCESO,1.501946261248277,EXCESO,MODERADA,0.0958904109589041,0.18181818181818182,1.0,estable,1,10.87147282446329,2,0
5,ANTIOQUIA,5321,GUATAPÉ,0.06876790830945559,0.1067592518001844,1.552457453261015,estable,ALTA,1.8785885167464116,0.956688596491228,NORMAL,1.2189491822088052,EXCESO,MODERADA,0.08571428571428572,0.15384615384615385,0.0,estable,1,13.61286397050146,2,1
5,ANTIOQUIA,5347,HELICONIA,0.06876790830945559,0.08039505709282171,1.169078121891449,decreciente,MODERADA,0.7545204402515724,0.37526881720430105,DEFICIT,0.6784431491526266,DEFICIT,MODERADA,0.08823529411764706,0.2,0.0,estable,1,6.521513243356303,2,0
5,ANTIOQUIA,5353,HISPANIA,0.05555555555555555,0.1649864577758316,2.969756239964969,creciente,MODERADA,2.8125,6.923076923076924,EXCESO,,sin_datos,NORMAL,0.09090909090909091,0.0,0.0,estable,1,9.269219399811464,0,1
5,ANTIOQUIA,5360,ITAGÜÍ,0.02288620470438652,0.1423357193772004,6.219280182787118,estable,MODERADA,6.15414710485133,3.0810185185185186,EXCESO,0.8457930757543258,DEFICIT,MODERADA,0.09296482412060302,0.1111111111111111,0.0,estable,1,5.393310670776863,2,1
