COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,precip_acum_mm,precip_max_10min,n_estaciones,alerta_compuesta,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,sequia_categoria,alerta,fecha,municipio_afectado
15469,MONIQUIRÁ,BOYACÁ,5.863370485,-73.55852538,0.0,0.0,4,MODERADA,0.0909090909090909,0.1305080832578566,3.9224929468055816,sin_datos,MODERADA,1,2026-09-17,1
15476,MOTAVITA,BOYACÁ,5.606192449,-73.37734267,,,2,MODERADA,0.0825396825396825,0.067416060090499,1.7813397416220331,estable,NORMAL,1,2026-09-17,0
15491,NOBSA,BOYACÁ,5.778759851,-72.93268324,0.0,0.0,4,MODERADA,0.0825688073394495,0.0710753222525562,1.4998715439449686,estable,NORMAL,1,2026-09-17,0
15511,PACHAVITA,BOYACÁ,5.148323877,-73.39951219,,,2,BAJA,0.0584415584415584,0.0,,sin_datos,NORMAL,0,2026-09-17,1
15514,PÁEZ,BOYACÁ,5.095211035,-73.00435863,7.2,2.5,9,ALTA,0.0961538461538461,0.1200623313862561,6.5691247029908695,creciente,MODERADA,2,2026-09-17,1
15516,PAIPA,BOYACÁ,5.762027786,-73.13777442,0.06666666666666667,0.1,4,MODERADA,0.09009009009009,0.0830538106523769,1.7494032815191147,estable,NORMAL,1,2026-09-17,1
15518,PAJARITO,BOYACÁ,5.382328949,-72.69672674,16.0,2.4,3,ALTA,0.0833333333333333,0.1791822925751497,3.762828144078144,estable,ALTA,2,2026-09-17,1
15542,PESCA,BOYACÁ,5.498483324,-73.07837993,0.0,0.0,4,CRÍTICA,0.1481481481481481,0.2112825127293818,8.05690648541376,estable,ALTA,3,2026-09-17,1
15550,PISBA,BOYACÁ,5.768131812,-72.43993232,49.1,4.9,2,CRÍTICA,0.1330798479087452,0.1507181650086182,37.37810492213732,decreciente,NORMAL,3,2026-09-17,1
15572,PUERTO BOYACÁ,BOYACÁ,5.953466654,-74.4528581,,,3,BAJA,0.0865384615384615,0.0369047619047619,0.6642857142857143,estable,ALTA,0,2026-09-17,1
15600,RÁQUIRA,BOYACÁ,5.496268621,-73.62894438,,,1,BAJA,0.0522151898734177,0.0,,sin_datos,NORMAL,0,2026-09-17,1
15632,SABOYÁ,BOYACÁ,5.699926051,-73.74799466,,,1,BAJA,0.05198973042362,0.0,,sin_datos,MODERADA,0,2026-09-17,0
15646,SAMACÁ,BOYACÁ,5.47053997,-73.5211756,1.2,0.6,2,MODERADA,0.0714285714285714,0.1061467477295521,1.4860544682137302,estable,NORMAL,1,2026-09-17,1
15681,SAN PABLO DE BORBUR,BOYACÁ,5.677345066,-74.11403749,0.0,0.0,2,MODERADA,0.0687679083094555,0.1399725274725274,2.755407469685487,estable,MODERADA,1,2026-09-17,1
15686,SANTANA,BOYACÁ,6.057614971,-73.48974828,,,3,ALTA,0.0626780626780626,0.1946733407917562,3.1059246644502925,creciente,ALTA,2,2026-09-17,1
15690,SANTA MARÍA,BOYACÁ,4.823002556,-73.25377506,1.5,0.8,4,BAJA,0.0681818181818181,0.0517677442355656,1.0131687086103558,sin_datos,NORMAL,0,2026-09-17,1
15740,SIACHOQUE,BOYACÁ,5.498747701,-73.21681778,1.4000000000000001,0.2,3,ALTA,0.15,0.1565373227364812,3.85603605007532,insuficiente,MODERADA,2,2026-09-17,0
15755,SOCOTÁ,BOYACÁ,5.906513772,-72.53646361,2.5,0.4,3,MODERADA,0.0975609756097561,0.0851521793062265,3.6047755906302585,decreciente,MODERADA,1,2026-09-17,1
15757,SOCHA,BOYACÁ,5.960498836,-72.68239784,,,2,CRÍTICA,0.1095505617977528,0.1002001673317958,3.802332665590778,estable,MODERADA,3,2026-09-17,0
15759,SOGAMOSO,BOYACÁ,5.646672053,-72.8709565,1.3,0.4,6,MODERADA,0.0828282828282828,0.0947553162614373,1.6206245193703552,decreciente,ALTA,1,2026-09-17,0
15761,SOMONDOCO,BOYACÁ,4.970974064,-73.42878785,,,1,BAJA,0.052757793764988,0.0,,sin_datos,MODERADA,0,2026-09-17,1
15763,SOTAQUIRÁ,BOYACÁ,5.763010553,-73.24352232,,,2,BAJA,0.0685714285714285,0.0521058354746349,0.7598767673384264,decreciente,MODERADA,0,2026-09-17,0
15774,SUSACÓN,BOYACÁ,6.215200578,-72.71575634,,,1,BAJA,0.0643274853801169,0.0562470343894148,0.8743857164172666,estable,NORMAL,0,2026-09-17,1
15790,TASCO,BOYACÁ,5.882294313,-72.72626817,,,1,ALTA,0.0677966101694915,0.0699853222919036,1.0322835038055782,estable,MODERADA,2,2026-09-17,0
15806,TIBASOSA,BOYACÁ,5.747329389,-73.01114724,0.0,0.0,3,ALTA,0.1173184357541899,0.1066194174686387,5.314567886129069,estable,NORMAL,2,2026-09-17,0
15810,TIPACOQUE,BOYACÁ,6.42035349,-72.69463583,0.0,0.0,1,MODERADA,0.054858934169279,0.1219891219891219,2.223687423687424,estable,ALTA,1,2026-09-17,1
15820,TÓPAGA,BOYACÁ,5.765350303,-72.83672958,,,2,BAJA,0.0558583106267029,0.0225274725274725,0.4032967032967033,estable,LEVE,0,2026-09-17,0
